   1        c1^1          p1                           p 1
   8:a3     cs^3          cm:a3 = im11                 i -2x
   9:b1     cs^4          cc = cc:b1 = c1c1            c -2yc
   9:b2     cs^4          cc:b2 = a1n1 = an            a -2yac
   9:b3     cs^4          cc:b3 = i1a1 = ia            i -2ya
   9:-b1    cs^4          cc:-b1 = a1a1 = aa           a -2ya
   9:-b2    cs^4          cc:-b2 = c1n1 = cn           c -2ybc
   9:-b3    cs^4          cc:-b3 = i1c1 = ic           i -2yc
   9:c1     cs^4          cc:c1 = a11a                 a -2a
   9:c2     cs^4          cc:c2 = b11n = bn            b -2bc
   9:c3     cs^4          cc:c3 = i11b = ib            i -2b
   9:-c1    cs^4          cc:-c1 = b11b = bb           b -2b
   9:-c2    cs^4          cc:-c2 = a11n                a -2ac
   9:-c3    cs^4          cc:-c3 = i11a                i -2a
   9:a1     cs^4          cc:a1 = bb11                 b -2xb
   9:a2     cs^4          cc:a2 = cn11                 c -2xbc
   9:a3     cs^4          cc:a3 = ic11                 i -2xc
   9:-a1    cs^4          cc:-a1 = cc11                c -2xc
   9:-a2    cs^4          cc:-a2 = bn11                b -2xbc
   9:-a3    cs^4          cc:-a3 = ib11                i -2xb
  10:b      c2h^1         p2/m = p2/m:b = p12/m1      -p 2y
  10:c      c2h^1         p2/m:c = p112/m             -p 2
  10:a      c2h^1         p2/m:a = p2/m11             -p 2x
  11:b      c2h^2         p21/m = p21/m:b = p121/m1   -p 2yb
  11:c      c2h^2         p21/m:c = p1121/m           -p 2c
  11:a      c2h^2         p21/m:a = p21/m11           -p 2xa
  12:b1     c2h^3         c2/m = c2/m:b1 = c12/m1     -c 2y
  12:b2     c2h^3         c2/m:b2 = a12/m1 = a2/m     -a 2y
  12:b3     c2h^3         c2/m:b3 = i12/m1 = i2/m     -i 2y
  12:c1     c2h^3         c2/m:c1 = a112/m            -a 2
  12:c2     c2h^3         c2/m:c2 = b112/m = b2/m     -b 2
  12:c3     c2h^3         c2/m:c3 = i112/m            -i 2
  12:a1     c2h^3         c2/m:a1 = b2/m11            -b 2x
  12:a2     c2h^3         c2/m:a2 = c2/m11            -c 2x
  12:a3     c2h^3         c2/m:a3 = i2/m11            -i 2x
  13:b1     c2h^4         p2/c = p2/c:b1 = p12/c1     -p 2yc
  13:b2     c2h^4         p2/c:b2 = p12/n1 = p2/n     -p 2yac
  13:b3     c2h^4         p2/c:b3 = p12/a1 = p2/a     -p 2ya
  13:c1     c2h^4         p2/c:c1 = p112/a            -p 2a
  13:c2     c2h^4         p2/c:c2 = p112/n            -p 2ab
  13:c3     c2h^4         p2/c:c3 = p112/b = p2/b     -p 2b
  13:a1     c2h^4         p2/c:a1 = p2/b11            -p 2xb
  13:a2     c2h^4         p2/c:a2 = p2/n11            -p 2xbc
  13:a3     c2h^4         p2/c:a3 = p2/c11            -p 2xc
  14:b1     c2h^5         p21/c = p21/c:b1 = p121/c1  -p 2ybc
  14:b2     c2h^5         p21/c:b2 = p121/n1 = p21/n  -p 2yn
  14:b3     c2h^5         p21/c:b3 = p121/a1 = p21/a  -p 2yab
  14:c1     c2h^5         p21/c:c1 = p1121/a          -p 2ac
  14:c2     c2h^5         p21/c:c2 = p1121/n          -p 2n
  14:c3     c2h^5         p21/c:c3 = p1121/b = p21/b  -p 2bc
  14:a1     c2h^5         p21/c:a1 = p21/b11          -p 2xab
  14:a2     c2h^5         p21/c:a2 = p21/n11          -p 2xn
  14:a3     c2h^5         p21/c:a3 = p21/c11          -p 2xac
  15:b1     c2h^6         c2/c = c2/c:b1 = c12/c1     -c 2yc
  15:b2     c2h^6         c2/c:b2 = a12/n1 = a2/n     -a 2yac
  15:b3     c2h^6         c2/c:b3 = i12/a1 = i2/a     -i 2ya
  15:-b1    c2h^6         c2/c:-b1 = a12/a1 = a2/a    -a 2ya
  15:-b2    c2h^6         c2/c:-b2 = c12/n1 = c2/n    -c 2ybc
  15:-b3    c2h^6         c2/c:-b3 = i12/c1 = i2/c    -i 2yc
  15:c1     c2h^6         c2/c:c1 = a112/a            -a 2a
  15:c2     c2h^6         c2/c:c2 = b112/n = b2/n     -b 2bc
  15:c3     c2h^6         c2/c:c3 = i112/b            -i 2b
  15:-c1    c2h^6         c2/c:-c1 = b112/b = b2/b    -b 2b
  15:-c2    c2h^6         c2/c:-c2 = a112/n           -a 2ac
  15:-c3    c2h^6         c2/c:-c3 = i112/a           -i 2a
  15:a1     c2h^6         c2/c:a1 = b2/b11            -b 2xb
  15:a2     c2h^6         c2/c:a2 = c2/n11            -c 2xbc
  15:a3     c2h^6         c2/c:a3 = i2/c11            -i 2xc
  15:-a1    c2h^6         c2/c:-a1 = c2/c11           -c 2xc
  15:-a2    c2h^6         c2/c:-a2 = b2/n11           -b 2xbc
  15:-a3    c2h^6         c2/c:-a3 = i2/b11           -i 2xb
  16        d2^1          p222                         p 2 2
  17        d2^2          p2221                        p 2c 2
  17:cab    d2^2          p2122                        p 2a 2a
  17:bca    d2^2          p2212                        p 2 2b
  18        d2^3          p21212                       p 2 2ab
  18:cab    d2^3          p22121                       p 2bc 2
  18:bca    d2^3          p21221                       p 2ac 2ac
  19        d2^4          p212121                      p 2ac 2ab
  20        d2^5          c2221                        c 2c 2
  20:cab    d2^5          a2122                        a 2a 2a
  20:bca    d2^5          b2212                        b 2 2b
  21        d2^6          c222                         c 2 2
  21:cab    d2^6          a222                         a 2 2
  21:bca    d2^6          b222                         b 2 2
  22        d2^7          f222                         f 2 2
  23        d2^8          i222                         i 2 2
  24        d2^9          i212121                      i 2b 2c
  25        c2v^1         pmm2                         p 2 -2
  25:cab    c2v^1         p2mm                         p -2 2
  25:bca    c2v^1         pm2m                         p -2 -2
  26        c2v^2         pmc21                        p 2c -2
  26:ba-c   c2v^2         pcm21                        p 2c -2c
  26:cab    c2v^2         p21ma                        p -2a 2a
  26:-cba   c2v^2         p21am                        p -2 2a
  26:bca    c2v^2         pb21m                        p -2 -2b
  26:a-cb   c2v^2         pm21b                        p -2b -2
  27        c2v^3         pcc2                         p 2 -2c
  27:cab    c2v^3         p2aa                         p -2a 2
  27:bca    c2v^3         pb2b                         p -2b -2b
  28        c2v^4         pma2                         p 2 -2a
  28:ba-c   c2v^4         pbm2                         p 2 -2b
  28:cab    c2v^4         p2mb                         p -2b 2
  28:-cba   c2v^4         p2cm                         p -2c 2
  28:bca    c2v^4         pc2m                         p -2c -2c
  28:a-cb   c2v^4         pm2a                         p -2a -2a
  29        c2v^5         pca21                        p 2c -2ac
  29:ba-c   c2v^5         pbc21                        p 2c -2b
  29:cab    c2v^5         p21ab                        p -2b 2a
  29:-cba   c2v^5         p21ca                        p -2ac 2a
  29:bca    c2v^5         pc21b                        p -2bc -2c
  29:a-cb   c2v^5         pb21a                        p -2a -2ab
  30        c2v^6         pnc2                         p 2 -2bc
  30:ba-c   c2v^6         pcn2                         p 2 -2ac
  30:cab    c2v^6         p2na                         p -2ac 2
  30:-cba   c2v^6         p2an                         p -2ab 2
  30:bca    c2v^6         pb2n                         p -2ab -2ab
  30:a-cb   c2v^6         pn2b                         p -2bc -2bc
  31        c2v^7         pmn21                        p 2ac -2
  31:ba-c   c2v^7         pnm21                        p 2bc -2bc
  31:cab    c2v^7         p21mn                        p -2ab 2ab
  31:-cba   c2v^7         p21nm                        p -2 2ac
  31:bca    c2v^7         pn21m                        p -2 -2bc
  31:a-cb   c2v^7         pm21n                        p -2ab -2
  32        c2v^8         pba2                         p 2 -2ab
  32:cab    c2v^8         p2cb                         p -2bc 2
  32:bca    c2v^8         pc2a                         p -2ac -2ac
  33        c2v^9         pna21                        p 2c -2n
  33:ba-c   c2v^9         pbn21                        p 2c -2ab
  33:cab    c2v^9         p21nb                        p -2bc 2a
  33:-cba   c2v^9         p21cn                        p -2n 2a
  33:bca    c2v^9         pc21n                        p -2n -2ac
  33:a-cb   c2v^9         pn21a                        p -2ac -2n
  34        c2v^10        pnn2                         p 2 -2n
  34:cab    c2v^10        p2nn                         p -2n 2
  34:bca    c2v^10        pn2n                         p -2n -2n
  35        c2v^11        cmm2                         c 2 -2
  35:cab    c2v^11        a2mm                         a -2 2
  35:bca    c2v^11        bm2m                         b -2 -2
  36        c2v^12        cmc21                        c 2c -2
  36:ba-c   c2v^12        ccm21                        c 2c -2c
  36:cab    c2v^12        a21ma                        a -2a 2a
  36:-cba   c2v^12        a21am                        a -2 2a
  36:bca    c2v^12        bb21m                        b -2 -2b
  36:a-cb   c2v^12        bm21b                        b -2b -2
  37        c2v^13        ccc2                         c 2 -2c
  37:cab    c2v^13        a2aa                         a -2a 2
  37:bca    c2v^13        bb2b                         b -2b -2b
  38        c2v^14        amm2                         a 2 -2
  38:ba-c   c2v^14        bmm2                         b 2 -2
  38:cab    c2v^14        b2mm                         b -2 2
  38:-cba   c2v^14        c2mm                         c -2 2
  38:bca    c2v^14        cm2m                         c -2 -2
  38:a-cb   c2v^14        am2m                         a -2 -2
  39        c2v^15        abm2                         a 2 -2c
  39:ba-c   c2v^15        bma2                         b 2 -2c
  39:cab    c2v^15        b2cm                         b -2c 2
  39:-cba   c2v^15        c2mb                         c -2b 2
  39:bca    c2v^15        cm2a                         c -2b -2b
  39:a-cb   c2v^15        ac2m                         a -2c -2c
  40        c2v^16        ama2                         a 2 -2a
  40:ba-c   c2v^16        bbm2                         b 2 -2b
  40:cab    c2v^16        b2mb                         b -2b 2
  40:-cba   c2v^16        c2cm                         c -2c 2
  40:bca    c2v^16        cc2m                         c -2c -2c
  40:a-cb   c2v^16        am2a                         a -2a -2a
  41        c2v^17        aba2                         a 2 -2ac
  41:ba-c   c2v^17        bba2                         b 2 -2bc
  41:cab    c2v^17        b2cb                         b -2bc 2
  41:-cba   c2v^17        c2cb                         c -2bc 2
  41:bca    c2v^17        cc2a                         c -2bc -2bc
  41:a-cb   c2v^17        ac2a                         a -2ac -2ac
  42        c2v^18        fmm2                         f 2 -2
  42:cab    c2v^18        f2mm                         f -2 2
  42:bca    c2v^18        fm2m                         f -2 -2
  43        c2v^19        fdd2                         f 2 -2d
  43:cab    c2v^19        f2dd                         f -2d 2
  43:bca    c2v^19        fd2d                         f -2d -2d
  44        c2v^20        imm2                         i 2 -2
  44:cab    c2v^20        i2mm                         i -2 2
  44:bca    c2v^20        im2m                         i -2 -2
  45        c2v^21        iba2                         i 2 -2c
  45:cab    c2v^21        i2cb                         i -2a 2
  45:bca    c2v^21        ic2a                         i -2b -2b
  46        c2v^22        ima2                         i 2 -2a
  46:ba-c   c2v^22        ibm2                         i 2 -2b
  46:cab    c2v^22        i2mb                         i -2b 2
  46:-cba   c2v^22        i2cm                         i -2c 2
  46:bca    c2v^22        ic2m                         i -2c -2c
  46:a-cb   c2v^22        im2a                         i -2a -2a
  47        d2h^1         pmmm                        -p 2 2
  48:1      d2h^2         pnnn:1                       p 2 2 -1n
  48:2      d2h^2         pnnn:2                      -p 2ab 2bc
  49        d2h^3         pccm                        -p 2 2c
  49:cab    d2h^3         pmaa                        -p 2a 2
  49:bca    d2h^3         pbmb                        -p 2b 2b
  50:1      d2h^4         pban:1                       p 2 2 -1ab
  50:2      d2h^4         pban:2                      -p 2ab 2b
  50:1cab   d2h^4         pncb:1                       p 2 2 -1bc
  50:2cab   d2h^4         pncb:2                      -p 2b 2bc
  50:1bca   d2h^4         pcna:1                       p 2 2 -1ac
  50:2bca   d2h^4         pcna:2                      -p 2a 2c
  51        d2h^5         pmma                        -p 2a 2a
  51:ba-c   d2h^5         pmmb                        -p 2b 2
  51:cab    d2h^5         pbmm                        -p 2 2b
  51:-cba   d2h^5         pcmm                        -p 2c 2c
  51:bca    d2h^5         pmcm                        -p 2c 2
  51:a-cb   d2h^5         pmam                        -p 2 2a
  52        d2h^6         pnna                        -p 2a 2bc
  52:ba-c   d2h^6         pnnb                        -p 2b 2n
  52:cab    d2h^6         pbnn                        -p 2n 2b
  52:-cba   d2h^6         pcnn                        -p 2ab 2c
  52:bca    d2h^6         pncn                        -p 2ab 2n
  52:a-cb   d2h^6         pnan                        -p 2n 2bc
  53        d2h^7         pmna                        -p 2ac 2
  53:ba-c   d2h^7         pnmb                        -p 2bc 2bc
  53:cab    d2h^7         pbmn                        -p 2ab 2ab
  53:-cba   d2h^7         pcnm                        -p 2 2ac
  53:bca    d2h^7         pncm                        -p 2 2bc
  53:a-cb   d2h^7         pman                        -p 2ab 2
  54        d2h^8         pcca                        -p 2a 2ac
  54:ba-c   d2h^8         pccb                        -p 2b 2c
  54:cab    d2h^8         pbaa                        -p 2a 2b
  54:-cba   d2h^8         pcaa                        -p 2ac 2c
  54:bca    d2h^8         pbcb                        -p 2bc 2b
  54:a-cb   d2h^8         pbab                        -p 2b 2ab
  55        d2h^9         pbam                        -p 2 2ab
  55:cab    d2h^9         pmcb                        -p 2bc 2
  55:bca    d2h^9         pcma                        -p 2ac 2ac
  56        d2h^10        pccn                        -p 2ab 2ac
  56:cab    d2h^10        pnaa                        -p 2ac 2bc
  56:bca    d2h^10        pbnb                        -p 2bc 2ab
  57        d2h^11        pbcm                        -p 2c 2b
  57:ba-c   d2h^11        pcam                        -p 2c 2ac
  57:cab    d2h^11        pmca                        -p 2ac 2a
  57:-cba   d2h^11        pmab                        -p 2b 2a
  57:bca    d2h^11        pbma                        -p 2a 2ab
  57:a-cb   d2h^11        pcmb                        -p 2bc 2c
  58        d2h^12        pnnm                        -p 2 2n
  58:cab    d2h^12        pmnn                        -p 2n 2
  58:bca    d2h^12        pnmn                        -p 2n 2n
  59:1      d2h^13        pmmn:1                       p 2 2ab -1ab
  59:2      d2h^13        pmmn:2                      -p 2ab 2a
  59:1cab   d2h^13        pnmm:1                       p 2bc 2 -1bc
  59:2cab   d2h^13        pnmm:2                      -p 2c 2bc
  59:1bca   d2h^13        pmnm:1                       p 2ac 2ac -1ac
  59:2bca   d2h^13        pmnm:2                      -p 2c 2a
  60        d2h^14        pbcn                        -p 2n 2ab
  60:ba-c   d2h^14        pcan                        -p 2n 2c
  60:cab    d2h^14        pnca                        -p 2a 2n
  60:-cba   d2h^14        pnab                        -p 2bc 2n
  60:bca    d2h^14        pbna                        -p 2ac 2b
  60:a-cb   d2h^14        pcnb                        -p 2b 2ac
  61        d2h^15        pbca                        -p 2ac 2ab
  61:ba-c   d2h^15        pcab                        -p 2bc 2ac
  62        d2h^16        pnma                        -p 2ac 2n
  62:ba-c   d2h^16        pmnb                        -p 2bc 2a
  62:cab    d2h^16        pbnm                        -p 2c 2ab
  62:-cba   d2h^16        pcmn                        -p 2n 2ac
  62:bca    d2h^16        pmcn                        -p 2n 2a
  62:a-cb   d2h^16        pnam                        -p 2c 2n
  63        d2h^17        cmcm                        -c 2c 2
  63:ba-c   d2h^17        ccmm                        -c 2c 2c
  63:cab    d2h^17        amma                        -a 2a 2a
  63:-cba   d2h^17        amam                        -a 2 2a
  63:bca    d2h^17        bbmm                        -b 2 2b
  63:a-cb   d2h^17        bmmb                        -b 2b 2
  64        d2h^18        cmca                        -c 2bc 2
  64:ba-c   d2h^18        ccmb                        -c 2bc 2bc
  64:cab    d2h^18        abma                        -a 2ac 2ac
  64:-cba   d2h^18        acam                        -a 2 2ac
  64:bca    d2h^18        bbcm                        -b 2 2bc
  64:a-cb   d2h^18        bmab                        -b 2bc 2
  65        d2h^19        cmmm                        -c 2 2
  65:cab    d2h^19        ammm                        -a 2 2
  65:bca    d2h^19        bmmm                        -b 2 2
  66        d2h^20        cccm                        -c 2 2c
  66:cab    d2h^20        amaa                        -a 2a 2
  66:bca    d2h^20        bbmb                        -b 2b 2b
  67        d2h^21        cmma                        -c 2b 2
  67:ba-c   d2h^21        cmmb                        -c 2b 2b
  67:cab    d2h^21        abmm                        -a 2c 2c
  67:-cba   d2h^21        acmm                        -a 2 2c
  67:bca    d2h^21        bmcm                        -b 2 2c
  67:a-cb   d2h^21        bmam                        -b 2c 2
  68:1      d2h^22        ccca:1                       c 2 2 -1bc
  68:2      d2h^22        ccca:2                      -c 2b 2bc
  68:1ba-c  d2h^22        cccb:1                       c 2 2 -1bc
  68:2ba-c  d2h^22        cccb:2                      -c 2b 2c
  68:1cab   d2h^22        abaa:1                       a 2 2 -1ac
  68:2cab   d2h^22        abaa:2                      -a 2a 2c
  68:1-cba  d2h^22        acaa:1                       a 2 2 -1ac
  68:2-cba  d2h^22        acaa:2                      -a 2ac 2c
  68:1bca   d2h^22        bbcb:1                       b 2 2 -1bc
  68:2bca   d2h^22        bbcb:2                      -b 2bc 2b
  68:1a-cb  d2h^22        bbab:1                       b 2 2 -1bc
  68:2a-cb  d2h^22        bbab:2                      -b 2b 2bc
  69        d2h^23        fmmm                        -f 2 2
  70:1      d2h^24        fddd:1                       f 2 2 -1d
  70:2      d2h^24        fddd:2                      -f 2uv 2vw
  71        d2h^25        immm                        -i 2 2
  72        d2h^26        ibam                        -i 2 2c
  72:cab    d2h^26        imcb                        -i 2a 2
  72:bca    d2h^26        icma                        -i 2b 2b
  73        d2h^27        ibca                        -i 2b 2c
  73:ba-c   d2h^27        icab                        -i 2a 2b
  74        d2h^28        imma                        -i 2b 2
  74:ba-c   d2h^28        immb                        -i 2a 2a
  74:cab    d2h^28        ibmm                        -i 2c 2c
  74:-cba   d2h^28        icmm                        -i 2 2b
  74:bca    d2h^28        imcm                        -i 2 2a
  74:a-cb   d2h^28        imam                        -i 2c 2
  75        c4^1          p4                           p 4
  76        c4^2          p41                          p 4w
  77        c4^3          p42                          p 4c
  78        c4^4          p43                          p 4cw
  79        c4^5          i4                           i 4
  80        c4^6          i41                          i 4bw
  81        s4^1          p-4                          p -4
  82        s4^2          i-4                          i -4
  83        c4h^1         p4/m                        -p 4
  84        c4h^2         p42/m                       -p 4c
  85:1      c4h^3         p4/n:1                       p 4ab -1ab
  85:2      c4h^3         p4/n:2                      -p 4a
  86:1      c4h^4         p42/n:1                      p 4n -1n
  86:2      c4h^4         p42/n:2                     -p 4bc
  87        c4h^5         i4/m                        -i 4
  88:1      c4h^6         i41/a:1                      i 4bw -1bw
  88:2      c4h^6         i41/a:2                     -i 4ad
  89        d4^1          p422                         p 4 2
  90        d4^2          p4212                        p 4ab 2ab
  91        d4^3          p4122                        p 4w 2c
  92        d4^4          p41212                       p 4abw 2nw
  93        d4^5          p4222                        p 4c 2
  94        d4^6          p42212                       p 4n 2n
  95        d4^7          p4322                        p 4cw 2c
  96        d4^8          p43212                       p 4nw 2abw
  97        d4^9          i422                         i 4 2
  98        d4^10         i4122                        i 4bw 2bw
  99        c4v^1         p4mm                         p 4 -2
 100        c4v^2         p4bm                         p 4 -2ab
 101        c4v^3         p42cm                        p 4c -2c
 102        c4v^4         p42nm                        p 4n -2n
 103        c4v^5         p4cc                         p 4 -2c
 104        c4v^6         p4nc                         p 4 -2n
 105        c4v^7         p42mc                        p 4c -2
 106        c4v^8         p42bc                        p 4c -2ab
 107        c4v^9         i4mm                         i 4 -2
 108        c4v^10        i4cm                         i 4 -2c
 109        c4v^11        i41md                        i 4bw -2
 110        c4v^12        i41cd                        i 4bw -2c
 111        d2d^1         p-42m                        p -4 2
 112        d2d^2         p-42c                        p -4 2c
 113        d2d^3         p-421m                       p -4 2ab
 114        d2d^4         p-421c                       p -4 2n
 115        d2d^5         p-4m2                        p -4 -2
 116        d2d^6         p-4c2                        p -4 -2c
 117        d2d^7         p-4b2                        p -4 -2ab
 118        d2d^8         p-4n2                        p -4 -2n
 119        d2d^9         i-4m2                        i -4 -2
 120        d2d^10        i-4c2                        i -4 -2c
 121        d2d^11        i-42m                        i -4 2
 122        d2d^12        i-42d                        i -4 2bw
 123        d4h^1         p4/mmm                      -p 4 2
 124        d4h^2         p4/mcc                      -p 4 2c
 125:1      d4h^3         p4/nbm:1                     p 4 2 -1ab
 125:2      d4h^3         p4/nbm:2                    -p 4a 2b
 126:1      d4h^4         p4/nnc:1                     p 4 2 -1n
 126:2      d4h^4         p4/nnc:2                    -p 4a 2bc
 127        d4h^5         p4/mbm                      -p 4 2ab
 128        d4h^6         p4/mnc                      -p 4 2n
 129:1      d4h^7         p4/nmm:1                     p 4ab 2ab -1ab
 129:2      d4h^7         p4/nmm:2                    -p 4a 2a
 130:1      d4h^8         p4/ncc:1                     p 4ab 2n -1ab
 130:2      d4h^8         p4/ncc:2                    -p 4a 2ac
 131        d4h^9         p42/mmc                     -p 4c 2
 132        d4h^10        p42/mcm                     -p 4c 2c
 133:1      d4h^11        p42/nbc:1                    p 4n 2c -1n
 133:2      d4h^11        p42/nbc:2                   -p 4ac 2b
 134:1      d4h^12        p42/nnm:1                    p 4n 2 -1n
 134:2      d4h^12        p42/nnm:2                   -p 4ac 2bc
 135        d4h^13        p42/mbc                     -p 4c 2ab
 136        d4h^14        p42/mnm                     -p 4n 2n
 137:1      d4h^15        p42/nmc:1                    p 4n 2n -1n
 137:2      d4h^15        p42/nmc:2                   -p 4ac 2a
 138:1      d4h^16        p42/ncm:1                    p 4n 2ab -1n
 138:2      d4h^16        p42/ncm:2                   -p 4ac 2ac
 139        d4h^17        i4/mmm                      -i 4 2
 140        d4h^18        i4/mcm                      -i 4 2c
 141:1      d4h^19        i41/amd:1                    i 4bw 2bw -1bw
 141:2      d4h^19        i41/amd:2                   -i 4bd 2
 142:1      d4h^20        i41/acd:1                    i 4bw 2aw -1bw
 142:2      d4h^20        i41/acd:2                   -i 4bd 2c
 143        c3^1          p3                           p 3
 144        c3^2          p31                          p 31
 145        c3^3          p32                          p 32
 146:h      c3^4          r3:h                         r 3
 146:r      c3^4          r3:r                         p 3*
 147        c3i^1         p-3                         -p 3
 148:h      c3i^2         r-3:h                       -r 3
 148:r      c3i^2         r-3:r                       -p 3*
 149        d3^1          p312                         p 3 2
 150        d3^2          p321                         p 3 2"
 151        d3^3          p3112                        p 31 2c (0 0 1)
 152        d3^4          p3121                        p 31 2"
 153        d3^5          p3212                        p 32 2c (0 0 -1)
 154        d3^6          p3221                        p 32 2"
 155:h      d3^7          r32:h                        r 3 2"
 155:r      d3^7          r32:r                        p 3* 2
 156        c3v^1         p3m1                         p 3 -2"
 157        c3v^2         p31m                         p 3 -2
 158        c3v^3         p3c1                         p 3 -2"c
 159        c3v^4         p31c                         p 3 -2c
 160:h      c3v^5         r3m:h                        r 3 -2"
 160:r      c3v^5         r3m:r                        p 3* -2
 161:h      c3v^6         r3c:h                        r 3 -2"c
 161:r      c3v^6         r3c:r                        p 3* -2n
 162        d3d^1         p-31m                       -p 3 2
 163        d3d^2         p-31c                       -p 3 2c
 164        d3d^3         p-3m1                       -p 3 2"
 165        d3d^4         p-3c1                       -p 3 2"c
 166:h      d3d^5         r-3m:h                      -r 3 2"
 166:r      d3d^5         r-3m:r                      -p 3* 2
 167:h      d3d^6         r-3c:h                      -r 3 2"c
 167:r      d3d^6         r-3c:r                      -p 3* 2n
 168        c6^1          p6                           p 6
 169        c6^2          p61                          p 61
 170        c6^3          p65                          p 65
 171        c6^4          p62                          p 62
 172        c6^5          p64                          p 64
 173        c6^6          p63                          p 6c
 174        c3h^1         p-6                          p -6
 175        c6h^1         p6/m                        -p 6
 176        c6h^2         p63/m                       -p 6c
 177        d6^1          p622                         p 6 2
 178        d6^2          p6122                        p 61 2 (0 0 -1)
 179        d6^3          p6522                        p 65 2 (0 0 1)
 180        d6^4          p6222                        p 62 2c (0 0 1)
 181        d6^5          p6422                        p 64 2c (0 0 -1)
 182        d6^6          p6322                        p 6c 2c
 183        c6v^1         p6mm                         p 6 -2
 184        c6v^2         p6cc                         p 6 -2c
 185        c6v^3         p63cm                        p 6c -2
 186        c6v^4         p63mc                        p 6c -2c
 187        d3h^1         p-6m2                        p -6 2
 188        d3h^2         p-6c2                        p -6c 2
 189        d3h^3         p-62m                        p -6 -2
 190        d3h^4         p-62c                        p -6c -2c
 191        d6h^1         p6/mmm                      -p 6 2
 192        d6h^2         p6/mcc                      -p 6 2c
 193        d6h^3         p63/mcm                     -p 6c 2
 194        d6h^4         p63/mmc                     -p 6c 2c
 195        t^1           p23                          p 2 2 3
 196        t^2           f23                          f 2 2 3
 197        t^3           i23                          i 2 2 3
 198        t^4           p213                         p 2ac 2ab 3
 199        t^5           i213                         i 2b 2c 3
 200        th^1          pm-3                        -p 2 2 3
 201:1      th^2          pn-3:1                       p 2 2 3 -1n
 201:2      th^2          pn-3:2                      -p 2ab 2bc 3
 202        th^3          fm-3                        -f 2 2 3
 203:1      th^4          fd-3:1                       f 2 2 3 -1d
 203:2      th^4          fd-3:2                      -f 2uv 2vw 3
 204        th^5          im-3                        -i 2 2 3
 205        th^6          pa-3                        -p 2ac 2ab 3
 206        th^7          ia-3                        -i 2b 2c 3
 207        o^1           p432                         p 4 2 3
 208        o^2           p4232                        p 4n 2 3
 209        o^3           f432                         f 4 2 3
 210        o^4           f4132                        f 4d 2 3
 211        o^5           i432                         i 4 2 3
 212        o^6           p4332                        p 4acd 2ab 3
 213        o^7           p4132                        p 4bd 2ab 3
 214        o^8           i4132                        i 4bd 2c 3
 215        td^1          p-43m                        p -4 2 3
 216        td^2          f-43m                        f -4 2 3
 217        td^3          i-43m                        i -4 2 3
 218        td^4          p-43n                        p -4n 2 3
 219        td^5          f-43c                        f -4c 2 3
 220        td^6          i-43d                        i -4bd 2c 3
 221        oh^1          pm-3m                       -p 4 2 3
 222:1      oh^2          pn-3n:1                      p 4 2 3 -1n
 222:2      oh^2          pn-3n:2                     -p 4a 2bc 3
 223        oh^3          pm-3n                       -p 4n 2 3
 224:1      oh^4          pn-3m:1                      p 4n 2 3 -1n
 224:2      oh^4          pn-3m:2                     -p 4bc 2bc 3
 225        oh^5          fm-3m                       -f 4 2 3
 226        oh^6          fm-3c                       -f 4c 2 3
 227:1      oh^7          fd-3m:1                      f 4d 2 3 -1d
 227:2      oh^7          fd-3m:2                     -f 4vw 2vw 3
